Time [UTC],TIME,IMPORT,EXPORT,IMPORT,EXPORT,IMPORT,EXPORT
25/11/19,11:10,815.83,2.15,258.88,0,544.62,10.36
25/11/19,11:20,753.27,11.02,133.01,0,614.91,21.12
25/11/19,11:30,698.38,11.61,131.94,0,554.78,19.04
25/11/19,11:40,746.63,2.3,231.66,0,510.49,10.87
25/11/19,11:50,743.26,0.76,300.08,0,454.19,13.95
25/11/19,12:00,769.34,0.27,291.34,0,479.17,12.25
25/11/19,12:10,838.28,3.07,331.34,0,516.96,27.83
25/11/19,12:20,594.47,8.41,138.63,0,452.54,20.66
25/11/19,12:30,543.31,5.17,133.9,0,409.55,12.04
25/11/19,12:40,630.79,2.82,205,0,431.86,15.01
25/11/19,12:50,533.56,3.67,160.89,0,373.77,13.97
25/11/19,13:00,618.58,2.12,276.39,0,358.1,19.45
25/11/19,13:10,615.36,1.69,254.53,0,372.39,24.98
25/11/19,13:20,649.31,6.99,298.64,0,377.73,29.33
25/11/19,13:30,594.35,1.76,219.22,0,375.46,10.14
25/11/19,13:40,679.17,1.86,285.52,0,393.02,13.7
25/11/19,13:50,673.6,1.83,277.38,0,405.79,11.99
25/11/19,14:00,549.91,2.34,152.35,0,395.3,11
25/11/19,14:10,645.56,1.29,238.58,0,413.17,9.82
25/11/19,14:20,748.8,1.79,335.88,0,426.51,23.84
25/11/19,14:30,570.5,4.38,198.43,0,378.14,19.7
25/11/19,14:40,673.38,0.16,293.28,0,384.68,10.22
25/11/19,14:50,596.68,14.74,208.15,0,399.96,32.31
25/11/19,15:00,625.2,0.76,260.93,0,375.32,17.89
25/11/19,15:10,676.97,0.47,313.73,0,375.11,14.01
25/11/19,15:20,765.7,2.09,359.89,0,430.57,29.73
25/11/19,15:30,702.67,6.33,298.21,0,416.78,26.04
25/11/19,15:40,748.57,0.88,364.05,0,392.44,15.7
25/11/19,15:50,741.97,2.02,379.62,0,399.29,32.55
25/11/19,16:00,780.71,0.93,424.62,0,375.88,25.93
25/11/19,16:10,849.64,2.1,421.85,0,442.49,20.93
25/11/19,16:20,830.64,0.54,413.44,0,421.61,10.22
25/11/19,16:30,853.93,0,434.6,0,426.38,5.8
25/11/19,16:40,950.42,0,485.69,0,471.16,10.31
25/11/19,16:50,1035.86,0,500.77,0,534.41,4.61
25/11/19,17:00,1016.75,0,499.86,0,512.13,5.11
25/11/19,17:10,1021.56,0.17,494.89,0,530.02,11.04
25/11/19,17:20,1084.81,0.21,487.12,0,597.98,7.43
25/11/19,17:30,1034.28,0,495.34,0,543.74,13.34
25/11/19,17:40,1127.61,0,548.6,0,585.38,8.74
25/11/19,17:50,1176.38,0.24,611.4,0,568.8,7.99
25/11/19,18:00,1247.64,0,662.85,0,581.58,11.56
25/11/19,18:10,1243.14,0.17,687.81,0,573.65,18.98
25/11/19,18:20,1313.22,0,731.55,0,582.96,11.57
25/11/19,18:30,1327.69,0,738.58,0,587.05,7.8
25/11/19,18:40,1263.78,0,738.57,0,535.79,10.4
25/11/19,18:50,1263.94,0,726.59,0,539.92,8.06
25/11/19,19:00,1267.9,0,718.21,0,553.16,6.83
25/11/19,19:10,1206.87,0,703.05,0,525.47,22.23
25/11/19,19:20,1231.67,0,703.32,0,534.89,14.21
25/11/19,19:30,1226.94,0,688.86,0,544.68,4.67
25/11/19,19:40,1175.16,0.54,633.42,0,558.74,30.95
25/11/19,19:50,1141.73,0,602.63,0,549.07,10.14
25/11/19,20:00,1129.45,0.22,581.43,0,554.06,13.7
25/11/19,20:10,1090.41,0.84,577.05,0,521.88,20.71
25/11/19,20:20,1089.11,0.4,567.28,0,542.65,20.72
25/11/19,20:30,1098.35,0.02,549.36,0,555.32,15.28
25/11/19,20:40,1058.44,0.2,541.32,0,526.57,11.63
25/11/19,20:50,1041.39,0,550.99,0,491.49,11.34
25/11/19,21:00,1055.05,0.18,539.67,0,530.59,18.91
25/11/19,21:10,1021.7,0.04,524.89,0,505.92,21.15
25/11/19,21:20,956.9,0.02,521.68,0,456.11,16.68
25/11/19,21:30,934.02,0.84,526.91,0,427.56,24
25/11/19,21:40,911.5,0.01,522.44,0,405.85,18.37
25/11/19,21:50,870.12,0.43,513.22,0,384.81,29.28
25/11/19,22:00,877.25,0,504.93,0,389.15,17.4
25/11/19,22:10,869.93,0,490.04,0,388.36,9.99
25/11/19,22:20,754.14,7.52,404.01,0,385.87,44.22
25/11/19,22:30,736.85,1.27,381.49,0,375.65,18.19
25/11/19,22:40,728.85,0.54,381.57,0,377.7,29.74
25/11/19,22:50,805.3,0.28,372.41,0,432.58,4.08
25/11/19,23:00,666.2,0.36,356.97,0,321.86,12.15
25/11/19,23:10,605.41,0.86,346.25,0,274.32,12.41
25/11/19,23:20,626.18,0.02,345.85,0,296.78,16.62
25/11/19,23:30,634.35,0,350.81,0,298.17,15.69
25/11/19,23:40,742.23,0.07,364.68,0,384.77,12.89
25/11/19,23:50,543.95,0,348.42,0,206.15,4.29
25/11/19,00:00,413.18,0,326.85,0,95.32,0
26/11/19,00:10,369.52,0,305.12,0,76.05,3.15
26/11/19,00:20,354.61,0,300.76,0,64.44,0.4
26/11/19,00:30,370.3,0,303.32,0,73.54,0
26/11/19,00:40,372.08,0,301.06,0,78.23,0
26/11/19,00:50,382.51,0,301.86,0,86.61,0
26/11/19,01:00,364.1,0,299.19,0,72.12,0
26/11/19,01:10,341.31,0,296.74,0,53.44,0
26/11/19,01:20,340.46,0,300.49,0,48.72,0
26/11/19,01:30,345.46,0,298.75,0,55.19,0
26/11/19,01:40,354.18,0,300.44,0,61.88,0
26/11/19,01:50,325.26,0,285.28,0,48.05,0
26/11/19,02:00,329.05,0,283.7,0,54.39,0
26/11/19,02:10,314.82,0,293.31,0,31.54,0
26/11/19,02:20,314.59,0,290.42,0,34.48,0
26/11/19,02:30,319.94,0,292.72,0,36.74,0
26/11/19,02:40,306.16,0,291.58,0,24.99,0
26/11/19,02:50,316.56,0,289.61,0,36.76,0
26/11/19,03:00,331.62,0,289.87,0,50.51,0
26/11/19,03:10,303.84,0,290.86,0,23.67,0
26/11/19,03:20,302.87,0,291.62,0,22.12,0
26/11/19,03:30,310.86,0,294.15,0,27.55,0
26/11/19,03:40,317.2,0,301.07,0,26.71,0
26/11/19,03:50,310.17,0,296.55,0,25.47,0
26/11/19,04:00,296.23,0,302.61,0,7.98,0.02
26/11/19,04:10,323.41,0,307.75,0,28.99,0
26/11/19,04:20,425.24,0,353.06,0,83.09,0.21
26/11/19,04:30,487.76,0,368.04,0,130.97,0.9
26/11/19,04:40,549.63,0.1,401.43,0,177.99,20.93
26/11/19,04:50,581.25,0,425.77,0,184.68,21.42
26/11/19,05:00,601.08,0,435.88,0,192.08,13.96
26/11/19,05:10,689.18,0.02,447.07,0,262.82,17.32
26/11/19,05:20,752.08,0.38,442.87,0,325.91,18.33
26/11/19,05:30,790.09,0,449.76,0,352.49,11.94
26/11/19,05:40,817.7,0,446.86,0,373.27,5.98
26/11/19,05:50,805.23,0,455.92,0,363.32,10.86
26/11/19,06:00,813.02,0,476.16,0,354.17,9.04
26/11/19,06:10,817.65,0,485.69,0,347.69,8.85
26/11/19,06:20,773.64,0,464.3,0,324.6,12.27
26/11/19,06:30,853.31,0,460.9,0,398.25,6.31
26/11/19,06:40,861.21,0,444.4,0,423.13,4.28
26/11/19,06:50,841.14,0,429.11,0,417.32,9.86
26/11/19,07:00,817.5,0.39,404.83,0,422.25,11.22
26/11/19,07:10,799.4,0.06,388.04,0,427.23,13.81
26/11/19,07:20,800.79,0.96,365.35,0,439.32,10.28
26/11/19,07:30,833.88,0,351.05,0,485.11,7.27
