Month,Year,'Consumption (KWH)','Consumption (KVAH)',PF,MD achieved (KVA),TNEB Billed,CMRL Paid,PF Penality,Harmonics Penality,MD Penality
8,2013,0,0,0,0,0,0,0,0,0
9,2013,0,0,0,0,0,0,0,0,0
10,2013,0,0,0,0,0,0,0,0,0
11,2013,0,0,0,0,0,0,0,0,0
12,2013,0,0,0,0,0,0,0,0,0
1,2014,0,0,0,0,0,0,0,0,0
2,2014,0,0,0,0,0,0,0,0,0
3,2014,0,0,0,0,0,0,0,0,0
4,2014,0,0,0,0,0,0,0,0,0
5,2014,0,0,0,0,0,0,0,0,0
6,2014,0,0,0,0,0,0,0,0,0
7,2014,0,0,0,0,0,0,0,0,0
8,2014,0,0,0,0,0,0,0,0,0
9,2014,0,0,0,0,0,0,0,0,0
10,2014,0,0,0,0,0,0,0,0,0
11,2014,0,0,0,0,0,0,0,0,0
12,2014,0,0,0,0,0,0,0,0,0
1,2015,0,0,0,0,0,0,0,0,0
2,2015,0,0,0,0,0,0,0,0,0
3,2015,0,0,0,0,0,0,0,0,0
4,2015,0,0,0,0,0,0,0,0,0
5,2015,0,0,0,0,0,0,0,0,0
6,2015,0,0,0,0,0,0,0,0,0
7,2015,0,0,0,0,0,0,0,0,0
8,2015,0,0,0,0,0,0,0,0,0
9,2015,0,0,0,0,0,0,0,0,0
10,2015,0,0,0,0,1577000,1577000,0,0,0
11,2015,0,0,0,0,1577000,1577000,0,0,0
12,2015,0,0,0,0,1577000,1577000,0,0,0
1,2016,0,0,0,0,1577000,1577000,0,0,0
2,2016,354000,590000,0.6,1200,6620360,6620360,1951200,0,0
3,2016,375000,852000,0.44,1200,8051720,8051720,3146400,0,0
4,2016,489000,984000,0.5,1500,9437930,9437930,3549600,0,0
5,2016,441000,963000,0.46,1500,9048622,9048622,3566640,0,0
6,2016,513000,1185000,0.43,1500,10481273,10481273,4351260,0,0
7,2016,561000,1188000,0.47,2400,9939788,9939788,3436560,0,0
8,2016,597000,1308000,0.46,1800,14793644,9000716,4757280,0,0
9,2016,594000,1371000,0.43,2100,12019019,9349346,5157780,0,0
10,2016,636000,1398000,0.45,2700,12667835,10058373,5429700,0,0
11,2016,1038000,1194000,0.87,3900,10669023,7826069,290070,0,0
12,2016,168000,189000,0.89,3000,3078405,2468294,35910,0,0
1,2017,1062000,1264000,0.84,3600,11482742,8838236,878040,0,0
2,2017,525000,630000,0.83,3900,6668791,5192099,584325,0,0
3,2017,1746000,1992000,0.88,4500,16648553,12723919,310860,0,0
4,2017,1938000,2106000,0.92,5100,17945450,13722636,0,0,70000
5,2017,2085000,2316000,0.9,5700,20093850,15431084,0,0,490000
6,2017,2253000,2371000,0.95,6000,21832200,15721133,0,0,700000
7,2017,1635000,1837000,0.89,4200,15537275,11893812,145500,0,0
8,2017,1923000,2136000,0.9,4200,17803700,13628824,0,0,0
9,2017,2169000,2262000,0.96,4500,19875350,15213932,0,0,0
10,2017,1989000,2082000,0.96,4200,18358100,14065521,0,0,0
11,2017,2103000,2280000,0.92,4500,19320950,14786719,0,0,0
12,2017,2052000,2282000,0.91,4500,18892550,14461776,0,0,0
1,2018,1998000,2214000,0.9,4200,18433700,14124867,0,0,0
2,2018,2112000,2319000,0.91,5400,20007300,15354111,0,0,280000
3,2018,2187000,2412000,0.9,5700,20957550,16098597,0,0,490000
4,2018,2778000,3000000,0.93,6000,26463327,20360965,0,221127,700000
5,2018,2604000,2742000,0.95,7500,26375500,19815974,0,0,1750000
6,2018,3420000,3510000,0.97,7800,33560820,24501670,0,0,1960000
